Geneid,U251_WT_1,U251_WT_2,U251_WT_3,U251_N2KO_1,U251_N2KO_2,U251_N2KO_3
100287102,16,5,0,2,0,0
653635,867,596,405,432,366,432
102466751,30,12,10,17,21,12
100302278,0,0,0,0,0,0
645520,0,0,0,0,0,0
79501,0,0,0,0,0,0
729737,44,33,30,8,12,8
102725121,1,1,1,0,0,2
102723897,482,403,382,224,241,279
102465909,1,0,2,0,0,0
729759,0,0,0,0,0,0
100132287,48,11,6,28,7,8
105378947,0,2,0,0,4,0
101928626,0,0,2,4,1,1
102465432,5,8,7,9,13,10
81399,0,0,0,0,0,0
100133331,141,136,86,116,85,101
100288069,83,49,34,47,34,27
400728,11,8,9,14,0,6
79854,42,52,58,28,16,29
643837,1014,761,606,469,458,540
284593,0,0,0,0,0,0
100130417,330,178,130,130,105,121
148398,1776,989,956,324,415,344
26155,16330,8899,9288,4044,4266,4490
339451,1799,897,830,763,650,701
84069,646,289,234,108,145,156
84808,180,92,81,54,45,48
57801,584,316,386,267,290,288
9636,1175,712,675,469,496,480
375790,36832,24938,22732,25496,28926,28102
105369174,51,27,31,9,12,21
105378948,10,3,1,2,5,5
401934,0,0,0,0,0,0
54991,1567,895,947,611,686,661
254099,0,0,0,2,0,0
406984,0,0,0,0,0,0
406983,0,0,0,0,0,0
554210,0,0,0,0,0,0
254173,0,1,0,1,0,0
8784,4,0,5,4,3,3
7293,16,1,4,2,6,0
51150,15695,12527,12288,7312,7942,8261
126792,4518,3014,2985,1840,1996,2151
388581,18,20,8,4,15,10
118424,5919,3389,3419,1622,1867,1853
6339,294,163,136,262,280,256
116983,4331,2260,2027,2327,2268,2221
102465434,0,0,0,0,0,0
126789,1748,895,977,523,645,609
54973,7831,4478,4499,2763,2931,3298
102465435,0,0,0,0,0,0
80772,4494,2569,2625,1335,1299,1459
83756,130,56,50,30,28,25
1855,8902,4518,5014,2910,3096,3242
102466740,0,0,0,0,0,0
54587,304,159,133,237,225,200
54998,7934,4425,4765,2227,2437,2682
81669,12021,6791,5740,6109,5412,6062
148413,1805,1124,1111,640,814,882
55052,4355,2877,2701,1407,1475,1548
441869,77,40,45,3,0,2
643965,0,0,2,2,1,0
102724312,26,12,10,8,8,9
64856,841,682,610,121,123,146
219293,16,16,6,5,13,10
83858,2702,1090,1278,874,907,893
55210,5780,2510,2541,1668,1696,1735
339453,33,19,26,10,9,21
29101,7007,4668,4435,2901,3136,3283
643988,0,0,0,1,0,0
142678,2573,1301,1454,1639,1547,1628
8510,9,5,2,4,3,4
984,5284,3381,3003,2110,2215,2304
728661,7583,4966,4507,4359,4347,5235
8511,6,0,3,0,3,2
728642,1693,1226,913,776,825,729
9906,1252,790,698,678,677,735
65220,6785,3782,3828,2617,2573,2924
2782,51146,33164,30288,17291,18588,21298
105378949,76,71,44,15,16,39
163688,20,14,4,6,16,19
339456,0,0,0,0,0,0
85452,0,0,6,0,1,0
2563,6,4,7,0,2,0
5590,207,201,176,11,9,4
100506504,61,46,26,10,9,33
199990,3317,1891,1924,1432,1626,1564
105378592,19,13,4,2,7,14
6497,9759,5516,4636,5494,5438,5682
105378594,6,0,0,0,0,0
79906,862,472,404,320,332,356
100129534,215,92,112,99,144,118
11079,9952,7348,6858,3716,4118,4576
5192,2132,1360,1233,619,768,704
9651,0,2,0,1,0,0
55229,145,49,31,26,19,41
388585,0,0,0,0,0,0
115110,0,0,0,0,0,0
8764,5,20,0,4,6,4
100996583,0,0,0,0,0,0
127281,27,20,80,20,22,10
79258,0,0,0,0,0,0
100287898,1,0,0,0,0,0
140625,0,0,0,0,0,0
440556,70,24,35,33,58,46
63976,621,425,348,274,262,309
100422968,0,0,0,0,0,0
27237,129,48,84,39,35,34
1953,1877,1248,1083,594,714,744
693135,0,0,0,0,0,0
127262,2517,1457,1332,1075,1259,1198
49856,2197,1372,1288,773,759,917
7161,1607,898,727,650,762,730
57212,2497,1446,1256,1233,1175,1183
148870,0,0,0,1,0,0
388588,2,6,2,0,6,0
57470,6982,3976,3707,1894,2262,2145
9731,3522,2266,2064,1209,1309,1713
1677,580,347,367,213,205,226
339448,2298,1577,1528,1061,1073,1165
100133612,9,13,8,6,9,2
728716,0,0,0,0,0,0
284661,10,0,0,0,0,0
55966,41,37,38,0,0,0
100616489,0,0,0,0,0,0
100616421,0,0,0,0,0,0
261734,1297,700,692,590,653,698
8514,3799,1998,1858,464,568,527
26038,382,149,135,87,55,123
6146,15631,13572,11983,8221,8952,9350
102724450,2,0,0,4,2,1
388591,276,152,105,251,239,244
23463,14903,9432,9105,7070,7766,8201
148645,31,29,27,4,12,4
390992,0,2,0,0,0,0
387509,1004,690,626,826,689,866
11332,10509,6159,5958,3048,3080,3511
54626,85,64,36,58,76,87
83715,36,13,33,7,9,14
100422975,0,0,0,0,0,0
8718,534,207,218,161,198,150
57449,2199,1250,1122,806,774,750
79707,3558,1784,1573,1198,1192,1252
80835,10,0,0,2,2,0
3104,1858,935,897,627,515,684
9903,8442,4322,4301,3313,3864,4031
148479,2556,1539,1466,1522,1668,1969
90326,1840,1148,1118,418,507,479
55735,5104,3352,2902,1864,2038,1924
100505887,0,0,0,0,0,0
23261,1744,1201,1170,800,797,846
9341,7317,5032,4486,2992,3156,3507
8863,3362,2625,1980,1076,901,1177
10911,1,3,0,0,0,0
3604,40,67,36,21,16,22
11315,14593,9693,9533,4540,5302,5341
54206,13515,10678,9957,18724,19803,23102
102724539,0,0,2,0,0,2
50651,380,242,232,171,162,255
473,10990,7330,5594,6615,5838,6004
102724552,8,5,1,1,2,4
2023,284946,167936,165150,75374,81925,85091
102465436,0,0,0,2,0,0
100505975,10,11,2,2,2,3
765,2,0,2,4,0,1
155184,0,0,0,0,0,0
6518,0,0,0,2,0,0
80045,203,93,68,59,43,53
407040,0,0,0,0,0,0
9563,3530,2611,2149,3002,3411,3615
80176,1413,930,869,733,806,957
100506022,97,57,80,38,49,42
84275,1187,664,600,363,360,457
199953,3768,2033,2118,1790,1990,2154
5293,2957,1409,1456,739,933,955
644997,0,0,0,0,0,0
101929074,79,83,61,96,94,122
22883,25429,19397,16831,14371,15495,16110
56998,2338,1477,1439,1326,1537,1723
84328,2137,1533,1278,847,808,1000
64802,1384,910,786,444,490,520
100847055,0,0,0,0,0,0
105376719,0,0,0,0,0,0
116362,2,0,0,0,0,0
10277,9858,6468,5160,3323,3414,3424
23095,8896,6214,4633,4029,3950,4397
100422970,0,0,0,0,0,0
5226,20517,14040,13132,7285,7625,8143
100526739,0,0,0,0,0,0
378708,97,68,79,27,43,51
1325,14,2,3,11,7,5
1676,5004,3248,3107,1939,1932,2000
5195,2711,1752,1972,899,938,1150
54897,697,354,330,78,123,144
148345,6,0,4,0,0,0
23435,16071,11537,10354,7365,7188,7995
10747,98,54,38,44,54,53
6723,11966,5726,6113,3628,3809,4135
5394,8839,5461,4724,2531,2699,2989
2475,12299,7303,6140,3895,4321,4132
100873935,0,0,0,0,1,0
10218,0,0,0,2,0,0
29914,2137,1551,1511,993,1035,1263
57540,8,5,0,4,4,4
101929181,1,0,0,2,0,2
26232,109,48,54,63,45,59
93611,2039,1106,1172,930,921,954
26270,321,181,194,130,190,185
10459,4293,2392,2579,1736,1951,2186
374946,429,303,298,921,936,894
57085,1140,768,727,377,386,472
284498,2,0,0,0,0,0
102724659,1,0,0,2,0,0
4524,1473,969,738,734,798,884
1185,1831,1318,1052,1011,913,955
100379251,25,21,19,5,7,13
4878,29,16,18,18,15,14
4879,2,0,4,0,0,0
26829,0,0,0,0,0,0
90231,7329,5180,4939,2873,3261,3449
5351,20359,16202,15650,13715,14855,15464
9927,16515,10139,9800,5261,5765,6109
60672,1964,1087,1060,365,462,527
102466982,1,0,0,0,0,1
943,2,8,0,2,0,0
102465836,0,0,0,0,0,0
7133,13,10,12,6,19,10
100616438,0,0,0,0,0,0
55187,3310,2078,1683,1913,1948,1874
677885,2,2,2,0,4,2
9249,2081,2257,1857,4144,4464,5018
102466722,0,0,0,3,0,0
343066,0,0,0,2,2,14
126767,0,0,0,0,0,0
93190,0,0,0,2,2,4
390999,0,4,0,2,0,0
65121,0,0,0,0,0,0
440560,0,0,0,0,0,0
343069,21,20,14,16,6,15
65122,0,0,0,0,0,0
400735,0,0,0,0,0,0
343071,0,0,0,0,0,0
441871,0,0,0,0,0,0
440561,0,0,0,0,0,0
653606,0,0,0,0,0,0
102724742,0,0,0,0,0,0
101929983,0,0,0,0,0,0
649330,0,2,2,0,2,0
441873,0,0,0,0,0,0
649324,0,0,0,0,0,0
440563,0,0,0,0,0,0
645354,0,0,0,0,0,0
645359,0,0,0,0,0,0
101060301,0,0,0,1,0,0
343070,0,0,0,0,0,0
400736,0,0,0,0,0,0
391003,0,0,0,0,0,0
343068,0,0,0,0,0,0
391002,0,0,0,0,0,0
645382,0,0,0,0,0,0
653619,0,0,0,0,0,0
729528,0,0,0,0,0,0
645414,0,0,0,0,1,0
391004,0,0,0,0,0,0
645425,0,0,0,0,0,0
126755,0,0,0,0,0,0
10630,17,15,12,0,0,0
7799,2641,1822,1664,1165,1146,1174
23254,2230,1325,1344,1002,1008,1107
200197,16,2,11,17,18,7
55092,1094,1019,949,1169,1331,1320
727684,0,0,0,0,0,0
114827,22,10,20,19,13,14
101927417,6,1,0,0,2,0
79180,5143,3474,3644,3813,3901,4180
11330,1,6,4,0,0,0
63036,1,5,0,0,4,0
51032,5,11,0,9,1,9
842,1190,767,732,398,460,573
23341,2202,1732,1480,1225,1257,1405
79814,89,63,43,50,40,69
84301,544,382,373,194,130,255
6248,404,270,179,138,125,146
23207,10396,5895,5595,3199,3445,3914
284723,39,21,28,20,29,20
388595,5,0,0,0,0,0
54751,6203,3883,3365,3927,4651,4744
440567,347,353,323,135,190,165
729614,309,232,205,164,163,165
23013,7636,4819,3673,3997,4178,4066
7709,3236,1895,1825,1376,1381,1642
101928566,0,0,0,0,0,0
149563,0,0,0,0,0,0
27129,9,10,2,2,0,0
1187,10,0,4,4,0,8
1188,0,0,0,0,0,0
348487,35,21,17,35,26,27
1969,20571,15593,15027,8651,9859,10029
128272,26,6,10,0,2,0
101927546,10,6,13,3,6,7
79363,405,192,250,145,149,158
54455,2987,1792,1622,1010,1025,1227
26099,23490,15407,14740,8510,9588,10431
374955,2,0,0,16,0,0
55707,4489,2829,2728,1584,1808,1976
114819,253,147,111,125,95,106
26871,0,0,1,0,0,0
100126512,5,2,0,2,0,0
100126517,0,0,0,0,0,0
102724970,5,0,0,2,0,0
100133301,0,0,0,0,0,0
7195,0,0,0,0,0,0
55672,1270,678,626,470,477,559
84809,639,414,357,293,266,256
11209,125,57,29,107,72,110
26869,0,0,0,0,0,0
729574,0,0,0,0,0,0
100126533,0,0,0,0,0,2
284729,0,0,1,0,0,2
100189045,0,0,0,0,0,0
102723383,0,0,0,0,0,0
6060,0,0,0,0,0,0
11223,55,32,9,43,19,29
100500876,0,0,0,0,0,0
100189298,0,0,0,0,0,0
7193,0,0,0,0,0,0
791226,0,0,0,0,0,0
9696,1248,638,671,601,622,721
26870,0,0,0,0,0,0
4237,50,44,51,51,85,52
23400,8900,6097,5588,10517,12328,13487
6390,7136,5291,5196,2162,2393,2553
11240,30368,19073,17100,198,211,274
29943,485,314,275,89,99,101
51702,4831,2917,2693,634,767,825
100616188,8,8,4,11,2,2
23569,2190,1285,1161,2,4,17
353238,0,0,2,0,0,0
55920,31609,17393,16309,10670,11664,12377
55160,3030,1852,1767,838,990,1078
81569,6,4,4,0,0,0
101927876,0,0,0,0,0,0
84966,2,0,0,0,0,0
127707,627,591,479,1109,1078,1277
5081,12,4,0,0,0,0
80834,0,0,0,0,0,0
8659,2273,1466,1377,695,909,971
100616120,0,0,0,0,0,0
100302276,0,0,1,0,0,0
126917,10063,7157,6170,3813,3949,4092
23352,13053,7326,5680,5497,5320,4687
23065,13824,10653,9600,5863,6038,6387
51154,5878,3612,3588,1909,2130,2099
246181,25,19,15,6,10,5
22977,26,17,6,10,8,18
100506730,278,199,166,109,156,99
8574,5519,3017,3037,1739,2053,2211
54896,2510,1649,1643,942,1045,1129
832,18397,12245,11635,7187,8202,8501
100532736,0,0,0,0,0,0
440574,1896,1191,1162,616,836,889
644068,45,29,39,24,30,27
4681,3,2,0,1,1,4
3362,11,3,1,3,6,8
255104,1588,947,970,595,710,666
54546,0,0,0,0,0,0
23252,1770,1161,868,536,546,596
30814,0,0,0,0,0,0
5320,0,0,0,0,0,0
5322,0,6,2,4,4,4
26279,0,0,0,0,0,0
64600,1,0,0,0,0,0
391013,0,0,0,0,0,0
127733,0,0,0,0,0,0
101928017,0,0,0,0,0,0
127731,2,2,0,0,0,0
339505,2,0,0,2,1,0
55450,927,801,681,1785,1662,2108
79594,3911,2542,2452,1488,1631,1843
163933,16,4,2,4,0,2
978,7,8,0,2,2,0
65018,1001,574,518,228,336,340
102464833,0,0,0,0,0,0
100861548,322,278,202,184,150,166
1650,22928,19059,18794,9091,10243,11236
57576,116,33,42,43,37,49
400745,224,107,131,384,400,543
50809,24304,16038,13602,9013,8935,9740
8672,9051,6340,5143,5198,4788,5472
100302155,0,0,0,0,0,0
1889,16604,12645,11464,9517,10621,11145
100506801,4,4,4,0,2,2
84224,646,421,361,271,239,342
249,23,10,34,32,51,54
5909,101,53,55,21,36,17
84196,6405,4430,3675,2823,2959,3044
401944,10,6,3,0,5,0
3339,5041,3452,2697,4322,5369,4550
23436,0,0,0,0,0,0
10136,0,0,0,0,0,0
101928043,21,5,4,8,3,2
29092,405,372,330,300,325,406
998,20756,15966,15167,7282,8382,9073
54361,17,8,8,10,10,12
100616433,0,0,0,0,0,0
9923,3792,2665,1947,1386,1473,1617
2046,0,0,0,0,0,0
102466615,0,0,0,0,0,0
712,0,0,0,0,0,0
714,0,0,0,0,0,0
713,0,0,0,0,0,0
2048,12922,8460,8402,5523,6194,6524
100616391,0,0,0,0,0,0
100422914,0,0,0,0,2,0
646262,0,0,0,0,0,0
729059,0,0,0,0,2,6
23028,11695,7650,7154,3729,3808,4134
100422866,0,0,0,0,0,0
100616177,0,0,0,0,0,0
7798,5429,4037,3495,2921,3220,3443
3352,90,72,49,97,154,145
100996511,91,73,19,32,15,18
10236,24989,19264,16907,11852,12318,13367
80818,6250,4489,3889,1781,1916,2101
148898,193,125,96,80,73,60
6920,81,68,40,33,19,20
55616,3038,1963,1901,1618,1725,1699
1870,1321,726,671,713,810,855
101928163,0,0,0,0,0,0
3399,17433,10261,10794,1429,1375,1514
259283,0,0,0,0,0,0
6135,35625,29966,25845,15032,16192,16839
6924,8767,5615,5048,2605,2787,3096
100506963,32,21,44,7,10,13
57095,5515,3530,3235,1398,1506,1656
11313,5001,3121,2924,1813,1990,2088
2582,5476,2574,2701,1187,1422,1589
3155,2441,1627,1451,745,1016,1008
2517,2244,1852,1552,954,1026,1146
1269,1,0,0,0,4,0
100616492,0,0,0,0,0,0
55629,5403,4221,3474,2468,2629,2847
10772,7674,5922,4810,4602,4346,5336
127294,50,52,42,6,2,0
58985,109,66,24,23,20,19
163702,431,273,202,186,178,221
284632,0,0,0,0,0,0
57822,9,8,9,2,2,20
90529,888,549,605,121,104,87
57185,4276,3253,2826,676,689,768
100750325,5,0,2,0,0,0
11123,1611,960,916,384,374,542
100506985,231,105,115,97,49,60
400746,4,0,0,2,0,0
10250,11880,7868,6003,4558,4284,4816
25932,28412,22330,19620,22632,24181,28144
864,49,16,29,0,8,4
102465437,0,0,0,0,0,0
100616365,0,0,0,0,0,0
25949,3428,2849,2291,1484,1587,1869
57035,2791,1581,1105,896,766,874
6007,14,19,10,13,14,12
23585,1585,1327,1213,606,679,773
6006,14,4,9,2,0,4
55219,1800,1487,1106,801,921,982
26119,2660,1633,1654,606,722,756
57134,255,244,175,173,234,247
57190,12989,9165,7955,8264,9256,10028
56181,2660,1761,1734,897,1043,1198
646471,192,85,87,120,63,91
79000,862,600,595,307,377,359
164091,982,712,709,575,730,805
3925,35593,26786,23694,14072,15986,16955
100500808,0,0,0,0,0,0
5051,1983,1366,1142,577,641,688
2134,11,11,12,5,13,1
7780,1,0,0,0,0,0
105376910,0,0,0,0,0,0
84676,1,0,0,0,0,0
149420,981,761,669,510,520,538
79927,6,6,4,2,4,4
105376887,0,0,0,0,0,2
51042,1341,788,765,412,441,541
10256,39,17,14,6,12,0
378807,0,0,0,0,0,0
101928303,0,0,0,0,0,0
64793,4077,2556,2415,1377,1507,1521
83442,14360,10492,9715,4708,5271,5261
91544,1485,888,885,643,533,679
1043,0,0,0,0,0,0
55057,42,24,20,6,6,2
257101,0,0,0,0,0,0
79727,9,3,4,0,0,0
79947,3548,2172,2039,1230,1343,1417
101928324,11,6,9,16,6,10
3151,58391,43658,40767,15098,16965,17905
6195,3524,1888,1797,732,862,999
100302190,0,0,0,0,0,0
101928728,100,58,44,47,45,47
8289,10147,6089,5025,4701,4582,4660
55650,819,594,679,436,466,480
84243,4129,2509,2263,1246,1398,1438
2810,885,566,526,102,109,88
54707,2370,1344,1192,702,666,796
63906,1656,1068,1055,445,470,591
10726,16016,10071,9593,4629,5324,5156
8431,9,1,4,1,0,0
126695,0,2,0,0,0,0
388610,461,291,283,289,364,391
115572,765,377,430,193,221,279
6548,3349,2554,1975,1640,1719,1794
23038,5243,3296,3130,2286,2565,2862
84065,3506,2040,1950,1258,1543,1544
644961,79,76,37,50,25,53
100887744,0,0,0,0,0,0
84958,453,316,276,62,39,35
9064,2167,1171,1000,892,790,829
8547,1,3,0,0,3,2
388611,1,0,0,0,0,0
2827,240,146,147,132,161,136
10163,14810,9919,8171,6051,6029,6884
27245,5248,3075,2563,2334,2316,2465
2268,14,11,7,2,0,1
2537,2216,1782,1688,1105,1103,1299
199870,795,506,510,374,372,353
23673,2995,2087,1863,1164,1481,1519
5511,5031,3474,3324,1663,1990,1997
677774,0,0,0,1,0,0
9473,4,11,7,1,2,0
6118,4967,3278,3291,1745,1879,1863
27293,141,125,77,36,40,52
55113,1162,765,708,293,288,394
2140,2714,1670,1432,1078,1093,1345
5724,19,30,18,3,8,7
22826,12359,10470,9247,4792,5240,5898
93974,4470,3503,3493,1791,1729,1738
83667,997,539,560,642,747,873
54797,1171,966,906,413,408,542
65979,5859,4075,3504,2220,2313,2560
1104,9763,5893,5616,3013,3359,3824
8420,1970,1072,1073,708,571,546
6080,93,40,53,14,21,7
26768,36,22,18,15,11,11
54952,1811,1238,1282,752,729,904
85028,653,344,221,184,184,192
692212,26,11,16,16,11,8
677838,170,113,113,54,50,73
677825,11,11,25,12,9,5
692073,42,26,15,21,17,19
115273,194,109,145,107,123,125
6883,2282,2011,1957,997,1096,1172
26824,2,1,0,0,3,0
10691,1161,652,594,430,522,505
105376911,1,0,0,0,0,1
51441,8959,6150,5559,3353,3682,3984
4985,0,0,8,2,0,2
2035,3228,2284,1892,1198,1145,1403
399474,245,91,130,150,187,160
6429,11666,7791,6844,4092,4145,4166
51102,1387,670,747,454,480,510
10076,3724,2712,2313,1558,1849,2060
101928460,0,2,0,2,0,0
101929406,0,0,0,0,0,0
4146,18,19,11,11,8,7
100129196,40,25,27,18,18,16
7805,131,103,112,64,50,97
100616164,0,0,0,0,0,0
400748,0,0,0,0,0,0
9672,8765,7019,6014,3668,3950,4177
9698,8691,6001,4917,4235,3831,4272
692234,9,3,2,0,0,5
692235,3,7,6,2,9,6
692200,0,0,2,0,0,0
79570,64,58,57,8,10,29
9410,6825,4436,4195,2165,2470,2606
51538,3206,2405,2099,1203,1319,1424
2170,57,22,31,21,27,29
347735,1677,1106,1103,233,235,281
149086,0,0,0,0,0,0
284551,0,0,0,0,0,0
64129,6551,4489,4645,529,561,531
3061,1,4,4,4,0,0
553115,6651,3936,3879,1893,1998,2362
1307,502,213,227,260,309,263
576,2458,1364,1286,1201,1347,1476
100423028,3,0,0,0,0,0
90853,1189,598,473,465,544,611
8073,16232,12049,10657,6879,7650,8598
10657,21853,14260,12510,7325,8026,8510
55116,1680,1302,1067,995,1227,1115
100847018,0,0,0,0,0,0
23633,12904,6887,6459,3814,4525,4403
200081,16718,9530,8822,6191,6792,7337
79140,406,268,271,146,129,196
56063,493,338,324,189,150,191
55721,560,330,265,269,218,263
149069,24,17,19,17,12,10
8668,26557,16112,16011,6562,7478,8202
339483,153,97,58,250,222,209
84734,103,59,38,95,151,154
3932,20,4,12,0,0,0
3065,14410,8389,8080,4126,4710,4801
65108,22440,14567,14316,10026,11935,12327
100128071,114,42,31,29,47,16
81629,387,202,168,146,98,109
55108,9169,5652,5203,3113,3034,3314
728116,277,151,225,62,65,59
653121,712,484,432,579,554,655
339487,1590,1360,1150,478,602,622
5928,11962,7465,7037,5157,5410,5893
81493,1085,738,669,434,408,420
57648,10918,6764,5984,4083,4592,4596
8565,8077,4983,4666,3850,4395,5077
64766,2643,1781,1704,1016,1170,1157
252995,136,59,80,27,37,65
3208,41,19,20,18,27,8
113452,1778,1175,1213,788,798,922
127544,1926,1240,1108,533,608,711
204,12727,8656,7811,4193,4546,5001
113451,313,190,172,170,175,196
55223,1387,857,731,1082,1075,1329
149076,3664,2369,2068,1945,2011,2258
127550,1,4,4,8,0,0
1912,11657,6955,6789,6169,7015,7714
100500853,3,1,3,0,0,4
101929464,3,4,0,0,2,5
7579,1318,1042,776,513,399,490
114784,1933,1074,1037,980,922,938
127540,0,0,0,0,0,0
402779,0,0,0,0,0,0
84970,134,83,79,64,89,80
693137,0,0,0,0,0,0
2709,0,4,0,5,2,2
127534,4,0,0,0,4,1
2707,11,7,4,4,5,0
2701,0,0,0,0,0,0
113444,2739,1830,1719,1017,1153,1214
58512,10,10,2,20,10,10
653160,91,74,57,56,37,54
100506144,486,532,477,440,396,423
9204,1277,927,761,587,491,639
79830,2202,1563,1424,790,803,900
6421,30299,21545,17740,12478,12802,13394
9202,6838,5089,3927,3399,3256,3938
79932,7515,5691,5383,3195,3565,3808
23154,5867,3325,2989,2174,2332,2578
339488,58,22,14,8,9,20
5690,20128,13229,12262,4096,4627,4748
127703,3086,2230,1872,1231,1413,1418
63967,4059,2288,1959,2025,2400,2088
192670,765,527,418,388,395,354
26523,6002,3730,3207,2000,2255,2560
192669,1957,1282,1166,779,798,774
27285,25,32,32,16,23,36
54936,3326,2027,1924,1000,1166,1226
1296,84,82,43,68,97,95
27095,5075,3513,3444,2036,2136,2268
55700,28778,18700,16646,9330,9833,10907
9967,21012,13832,11708,8484,8357,8779
79729,524,242,258,192,179,168
55194,533,343,331,252,264,317
83931,5800,3617,3642,2108,2292,2551
84967,2404,1711,1667,826,915,1004
127700,569,457,391,154,238,273
64960,4474,3465,3193,1335,1613,1706
1441,0,0,0,0,0,1
2899,0,0,0,0,0,0
100422898,0,0,0,0,0,0
728431,211,135,143,57,34,38
80149,1040,748,615,407,416,357
102465438,4,0,1,0,0,1
64769,3290,2520,2374,1350,1415,1745
100847010,10,0,1,2,4,0
79753,1947,1305,1110,762,794,966
7802,20,23,28,4,4,12
29889,5171,3633,3015,1750,1928,1956
284654,1,0,0,0,0,0
54955,2112,1350,1203,823,833,849
55143,12100,7412,6778,2837,2993,3086
284656,2,1,0,0,2,0
149175,3209,2391,2323,1967,2125,2436
79693,1824,1130,1069,624,668,815
127687,2687,1378,1609,862,1122,1121
4520,2571,1642,1360,954,984,1081
3633,1353,779,647,474,526,553
10946,10133,6778,6121,3259,3586,3775
2275,1282,659,676,790,782,877
51118,3669,2745,2291,1389,1636,1643
5453,9,2,4,0,2,10
100500801,0,0,0,0,0,0
339442,0,0,0,0,0,0
64121,3838,2576,2348,1719,1819,2000
100527950,4,0,2,0,0,0
26292,1,3,3,0,0,0
81025,0,0,0,0,0,0
54933,79,81,95,36,32,26
79647,5241,4062,3620,2063,2156,2447
4725,7177,5884,5594,3341,3854,4102
23499,11960,9683,7268,9210,8680,7693
643314,2436,1572,1220,1458,1377,1331
105378950,0,0,0,0,0,0
353500,29,29,21,13,15,10
728448,26,9,12,13,7,8
8761,8598,4728,4536,3128,3380,3731
101929516,3,0,5,2,5,1
677834,10,2,6,3,7,7
26508,0,0,0,0,0,0
84618,0,0,0,0,0,0
51440,6,11,2,0,0,4
10450,3151,2079,1883,926,1159,1118
656,76,72,75,13,11,5
64064,8,6,2,1,0,2
105378951,0,0,0,0,2,0
101929536,6,2,4,0,0,0
54802,1316,972,812,478,452,526
4610,126,76,67,2,4,13
84879,3249,2661,2418,316,388,399
10487,28349,20797,18641,9683,10677,11972
5538,12747,11445,10908,6295,7052,7609
6018,2920,2248,1768,1194,1029,1210
127391,0,0,0,0,0,0
10269,5294,5147,4934,2866,2820,3247
1298,578,375,335,339,408,402
64744,3305,2266,1858,899,976,1057
65243,349,212,171,241,200,354
339559,4,2,2,0,4,0
64789,413,259,207,264,298,291
127396,256,237,212,74,97,110
9783,499,342,253,100,108,154
100130557,45,12,32,39,23,47
4802,3934,2416,2076,1048,1171,1278
407034,0,0,0,0,0,0
407031,0,0,0,0,0,0
9132,7,4,0,2,4,4
163732,247,172,158,606,636,743
1503,7130,3901,3848,2749,2942,3104
100507178,42,27,17,35,19,23
200172,32,16,15,23,8,29
22955,2471,1649,1491,1362,1262,1499
100132074,141,125,108,108,123,123
1907,125,73,50,22,16,11
59269,4607,2527,2136,979,1158,1105
2981,0,0,0,0,0,0
2980,0,0,0,0,0,0
22887,6427,4896,4004,2526,2600,2885
284716,372,234,250,81,58,64
84217,14,15,12,0,7,11
79717,1994,1485,1317,918,849,1017
728621,67,105,66,44,38,68
10465,2298,1645,1541,794,738,894
4904,91848,76973,69824,33309,34261,36903
149461,0,1,0,0,0,0
64175,5776,4381,4080,2346,2732,2743
79078,719,476,460,272,228,280
100129924,6,5,7,8,7,0
374969,546,351,363,146,231,181
114625,889,702,645,356,322,436
51058,804,502,511,335,319,341
339539,0,0,1,0,0,0
6513,30288,24473,23111,9499,9799,10754
440584,33,12,27,12,8,7
105378684,8,3,8,0,2,7
440585,0,0,2,0,0,2
10969,6390,4326,4144,1895,2154,2060
102465439,0,0,0,3,0,0
149465,17,6,2,0,2,4
128218,0,0,0,0,0,0
149466,0,0,0,0,0,0
7075,157,114,136,12,15,12
4352,15,12,8,3,8,5
991,39375,22115,22121,5344,5644,5965
64834,6713,4849,4827,2490,2704,2990
102466723,0,0,0,0,0,0
112950,1977,1194,1218,650,660,674
23334,4628,2402,1958,1618,1640,1527
102465440,0,0,0,0,0,0
81888,21,9,2,2,13,0
5792,19003,12078,11508,8270,9167,9396
9682,6576,4138,3472,2428,2742,2819
100132774,73,35,43,27,21,16
6487,1177,691,690,533,625,677
101929592,2,0,1,0,0,0
102464830,0,0,0,0,0,0
9048,210,81,111,66,49,58
9670,6843,3984,4050,2284,2423,2865
1802,3853,1977,2068,1230,1180,1353
533,7672,4785,4879,2293,2695,2919
8704,6076,3546,3624,2769,3056,3369
149473,436,306,256,244,203,237
6536,518,401,359,909,813,1093
128209,21,11,14,34,43,75
105378952,0,0,0,0,0,0
55929,3496,1954,1860,939,947,1094
79033,5976,3684,3847,1611,1951,2019
100874278,19,28,23,5,7,6
55182,6411,4325,3577,1729,2010,2151
100847089,0,0,0,0,0,0
79639,574,350,341,176,214,212
339541,46,63,27,47,41,45
26828,0,0,2,1,0,0
26830,0,0,0,0,0,0
11004,18959,10457,10206,3340,3780,3890
6202,30913,24805,23510,14144,15911,16771
26811,68,24,31,7,15,13
94161,4,9,4,13,2,3
94162,14,3,6,0,5,0
94163,30,10,6,8,8,16
266675,12,10,2,4,24,5
1263,701,452,518,454,449,568
343521,24,14,10,14,23,19
149478,305,149,123,347,323,290
8643,91,40,32,45,46,57
8891,2157,1366,1314,565,732,647
79654,5613,3470,3253,2086,2056,2163
7389,5336,3318,3186,2021,2175,2306
57643,453,294,275,212,148,212
400752,37,32,27,39,18,28
84842,11,8,6,0,11,3
4595,1515,794,802,496,594,584
